입찰공고번호,입찰공고차수,입찰공고명,업무구분명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
DSS0057,1,00부대 마이크로필름장비 유지보수 용역,용역,총액계약,제한경쟁,적격심사제,Y,국군제1068부대,ZD01123,국군제1068부대,ZD01123,87.745,48740659,48367680,44850036,2024-11-01,10:30,개찰완료,42767605,87.745,2024-11-05,주식회사 이앤비솔루션,김선빈,김선빈,525-81-01278,"경기도 용인시 기흥구 서천로201번길14, 514호. 515호(농서동, 프리미엄원희캐슬)"
EBH0135,2,BTCS 수리부속(일반 정비),물품,총액계약,제한경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,87078280,87287000,0,2024-11-01,11:00,개찰완료,79100000,90.837,2024-11-01,주식회사 나우이노,황재희,황재희,852-81-01258,경상북도 김천시 해오름1로1길6-10 (율곡동)
LCF0564,2,저항기 등 59항목 구매(기동-030)재,물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,182698887,166089897,2024-11-01,10:30,순위확정,,,,,,,,
LCF0574,2,허브  차륜용 등 3항목 제조(기동-020),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,23086037,23051700,20956091,2024-11-01,10:30,개찰완료,23051000,99.848,2024-11-01,(주)우진정밀,김철곤,김세영,606-81-58444,경상남도 김해시 생림면 생림대로713번길4-0
LCF0575,1,덮개 조립체  보호용 등 15항목 제조(기동-017),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,11284969,10259063,2024-11-01,10:30,유찰,,,,,,,,
LCF0576,1,시일  밀봉형 등 5항목 제조(기동-018),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,13988729,12717026,2024-11-01,10:30,유찰,,,,,,,,
LCF0577,1,호스  공기흡입용 등 11항목 제조(기동-019),물품,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,6714646,6104224,2024-11-01,10:30,유찰,,,,,,,,
LKH0038,3,24년 식기세척기 임차용역,용역,총액계약,제한경쟁,적격심사제,Y,제6128부대,ZD00091,제6128부대,ZD00091,87.745,123373191,123529410,114545455,2024-11-01,11:00,개찰완료,108336970,87.812,2024-11-01,(주)한성바이오테크,김재경,김재경,220-86-85188,"서울특별시 강남구 개포로25길18 (개포동, 1층)"
LKS0055,1,24년 ~ '25년 계룡스파텔 식자재 구매,물품,총액계약,2단계경쟁(동시),최저가격제,N,육군인사사령부,ZD00788,육군인사사령부,ZD00788,0,1475832118,1488340058,1380097145,2024-11-01,10:30,개찰완료,1326826750,89.903,2024-11-01,푸디스트 주식회사,박정훈,윤성민,711-81-01637,서울특별시 용산구 청파로363(서계동)
MDG0216,1,24년 의무장비(안저카메라 고급형) 구매,물품,총액계약,제한경쟁,적격심사제,Y,국군의무사령부,1290291,국군의무사령부,1290291,87.995,273648880,274400000,254545455,2024-11-01,11:00,개찰완료,252000000,92.088,2024-11-01,메디칼에이엠에스 주식회사,김성태,권성미,235-81-00717,"경기도 수원시 권선구 호매실로104번길90-0, 704호(호매실동, 제이디타워)"
