순번,업체명,신규 인증일,1차 갱신일,2차 갱신일,3차 갱신일,4차 갱신일,5차 갱신일,유효기간 시작일,유효기간 종료일
1,대한항공,2015-07-09,2018-07-09,2021-07-08,,,,2021-07-09,2026-07-08
2,LIG넥스원,2012-09-18,2015-09-18,2018-09-12,2021-09-16,,,2021-09-18, 2026-09-17
3,한화시스템,2012-09-18,2015-09-18,2018-09-12,2021-09-16,,,2021-09-18, 2026-09-17
4,STX엔진,2013-02-28,2016-02-28,2019-02-25,2022-02-24,,,2022-02-28,2027-02-27
5,풍산,2013-02-28,2016-02-28,2019-02-25,2022-02-24,,,2022-02-28,2027-02-27
6,S&T모티브,2013-06-21,2016-06-21,2019-05-20,2022-05-17,,,2022-06-21,2027-06-22
7,한국항공우주산업,2016-09-13,2019-09-13,2022-09-05,,,,2022-09-13,2027-09-12
8,한화에어로스페이스,2013-09-17,2016-09-17,2019-09-17,2022-09-05,2023-02-08,2023-06-13,2022-09-17,2027-09-16
9,현대로템,2013-09-17,2016-09-17,2019-09-17,2022-09-05,,,2022-09-17,2027-09-16
10,휴니드테크놀러지스,2014-02-17,2017-02-17,2020-02-14,2023-02-08,,,2023-02-17,2028-02-16
11,퍼스텍,2014-02-17,2017-02-17,2020-02-14,2023-02-08,,,2023-02-17,2028-02-16
12,코리아디펜스인더스트리,2023-05-04,,,,,,2023-05-04,2028-05-03
13,에이치디현대중공업㈜,2025-05-28,,,,,,2025-05-28,2030-05-28
